# Loading file                ::   ../data.csv
# Frequency vector size       ::   180001
# Magnitude vector size       ::   180001
# Smoothing frequency vector  ::   geomspace(start=0.1, stop=20, n=512)
# Elapsed Time                ::   0.88593 seconds
sfrqs,smags
2.43737,4.49327
2.46278,4.31233
2.48845,4.15141
2.51438,4.00801
2.54059,3.88011
2.56707,3.7661
2.59382,3.66458
2.62086,3.57412
2.64817,3.49309
2.67577,3.41961
2.70366,3.35169
2.73184,3.28737
2.76031,3.22502
2.78908,3.16346
2.81815,3.10211
2.84752,3.04095
2.8772,2.9804
2.90719,2.92112
2.93749,2.86377
2.9681,2.80884
2.99904,2.7565
3.0303,2.70654
3.06188,2.65844
3.09379,2.61148
3.12604,2.56491
3.15862,2.51807
3.19154,2.47057
3.2248,2.42229
3.25841,2.37347
3.29237,2.32461
3.32669,2.27639
3.36136,2.22964
3.39639,2.18515
3.43179,2.14366
3.46756,2.10577
3.5037,2.07191
3.54022,2.04225
3.57712,2.01678
3.6144,1.99522
3.65207,1.97707
3.69013,1.96167
3.72859,1.9482
3.76745,1.9358
3.80672,1.92364
3.8464,1.91101
3.88648,1.89742
3.92699,1.88269
3.96792,1.86693
4.00928,1.85053
4.05106,1.83417
4.09328,1.81865
4.13595,1.80481
4.17905,1.79341
4.22261,1.78504
4.26662,1.78001
4.31109,1.77833
4.35602,1.77971
4.40142,1.78363
4.44729,1.78937
4.49365,1.79615
4.54048,1.80315
4.5878,1.80963
4.63562,1.81491
4.68393,1.81845
4.73275,1.8198
4.78208,1.81864
4.83192,1.81469
4.88228,1.80776
4.93317,1.79771
4.98458,1.78442
5.03653,1.76785
5.08903,1.74803
5.14207,1.72505
5.19566,1.69914
5.24981,1.67065
5.30453,1.64005
5.35981,1.60791
5.41568,1.57489
5.47212,1.54168
5.52915,1.50894
5.58678,1.47722
5.64501,1.44694
5.70384,1.41834
5.76329,1.39147
5.82336,1.36618
5.88405,1.34221
5.94538,1.31924
6.00735,1.2969
6.06996,1.27493
6.13322,1.25313
6.19715,1.23143
6.26173,1.20988
6.327,1.1886
6.39294,1.1677
6.45957,1.14729
6.5269,1.12739
6.59492,1.10791
6.66366,1.08869
6.73311,1.06952
6.80328,1.0502
6.87419,1.03059
6.94584,1.01069
7.01823,0.990662
7.09138,0.97085
7.16529,0.951735
7.23997,0.933896
7.31543,0.917931
7.39167,0.904365
7.46871,0.893572
7.54655,0.885703
7.62521,0.880646
7.70468,0.878024
7.78498,0.877222
7.86612,0.877463
7.9481,0.877901
8.03094,0.877731
8.11464,0.876297
8.19922,0.87319
8.28468,0.868305
8.37102,0.861865
8.45827,0.854394
8.54642,0.846645
8.6355,0.839492
8.7255,0.833807
8.81644,0.83033
8.90833,0.829556
9.00118,0.831653
9.09499,0.836423
9.18979,0.843302
9.28557,0.851418
9.38235,0.859684
9.48013,0.86691
9.57894,0.871941
9.67878,0.873783
9.77965,0.871708
9.88158,0.865333
9.98457,0.854654
10.0886,0.84003
10.1938,0.822127
10.3,0.801824
10.4074,0.780091
10.5158,0.757872
10.6255,0.735969
10.7362,0.714965
10.8481,0.695175
10.9612,0.676658
11.0754,0.659247
11.1908,0.642632
11.3075,0.626438
11.4253,0.610317
11.5444,0.594014
11.6647,0.577414
11.7863,0.560547
11.9091,0.543577
12.0333,0.526751
12.1587,0.510345
12.2854,0.494611
12.4134,0.479732
12.5428,0.4658
12.6735,0.452809
12.8056,0.440677
12.9391,0.429269
13.074,0.418427
13.2102,0.408005
13.3479,0.397888
13.487,0.388
13.6276,0.378311
13.7696,0.36882
13.9131,0.359547
14.0582,0.350516
14.2047,0.341746
14.3527,0.333244
14.5023,0.32501
14.6535,0.317031
14.8062,0.309292
14.9605,0.301775
15.1164,0.294456
15.274,0.287309
15.4332,0.280297
15.594,0.27337
15.7565,0.266466
15.9208,0.259512
16.0867,0.252437
16.2544,0.245181
16.4238,0.237706
16.595,0.230013
16.7679,0.222142
16.9427,0.214173
17.1193,0.206214
17.2977,0.198388
17.478,0.190807
17.6601,0.183557
17.8442,0.17668
18.0302,0.170173
18.2181,0.163988
18.408,0.158046
18.5998,0.152252
18.7937,0.146516
18.9896,0.140773
19.1875,0.134991
19.3875,0.129177
19.5895,0.123378
19.7937,0.117665
20,0.112124
